Date,RSI,ATR,ADX,MACD
2024-07-25,31.1696,7.34,24.282,-4.367999999999995
2024-07-24,36.9094,7.2939,22.8028,-2.795899999999989
2024-07-23,38.6115,7.1265,21.8918,-1.3914000000000044
2024-07-22,37.7509,7.4247,21.9773,-0.5323999999999955
2024-07-19,38.1858,7.6019,21.9997,0.38120000000000687
2024-07-18,44.6724,7.7875,21.8553,1.9786000000000001
2024-07-17,50.6425,7.6011,21.9981,3.5622000000000185
2024-07-16,62.6815,6.7874,22.9371,5.158900000000017
2024-07-15,70.1327,6.9018,22.6051,5.276800000000009
2024-07-12,68.3452,6.8973,21.1497,5.11839999999998
2024-07-11,71.7082,6.8663,19.247,4.660599999999988
2024-07-10,68.8857,6.636,17.198,3.974899999999991
2024-07-09,67.39,6.3634,14.847,2.8362999999999943
2024-07-08,65.0167,6.4137,13.0198,2.0400999999999954
2024-07-05,56.4575,6.3647,11.2212,0.8323000000000036
2024-07-03,54.4042,6.0744,9.9009,-0.030000000000001137
2024-07-02,44.5897,6.3301,9.9367,-0.31569999999999254
2024-07-01,50.528,6.2109,10.1104,-0.7173999999999978
2024-06-28,49.0,6.0294,10.8494,-0.545800000000014
2024-06-27,44.2159,5.9516,10.324,-0.778899999999993
2024-06-26,49.002,6.1172,11.0714,-0.786200000000008
2024-06-25,49.1899,6.2231,11.8763,-0.5875000000000057
2024-06-24,47.7882,6.3518,12.635,-0.601300000000009
2024-06-21,50.4244,6.4396,13.0377,-0.6102000000000203
2024-06-20,41.5554,6.5265,13.5117,-0.7125000000000057
2024-06-18,42.9586,6.0909,14.0222,-0.8887
2024-06-17,44.1589,6.1702,13.4398,-0.37259999999997717
2024-06-14,44.7335,6.2221,12.9581,-0.0922999999999945
2024-06-13,46.8862,6.4138,13.1099,0.14160000000001105
2024-06-12,46.7861,6.4956,13.2733,0.41049999999998477
2024-06-11,46.9711,6.7168,13.6998,0.7132000000000005
2024-06-10,48.9479,6.8781,14.0059,1.2195000000000107
